step,sequence_id,pos_in_seq,input_id,seen_in_run,seen_global,active_cells,predicted_cells,tp,fp,fn,precision,recall,f1,active_columns,bursting_columns,sparsity_cells,sparsity_columns,stability_overlap_last,stability_jaccard_last,stability_jaccard_ema,stability_best_window,stability_worst_window,converged,unique_active_cells_ever,unique_active_columns_ever
110,seq0,2,C,28,28,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,290,0.5686274509803921,0.625,0.6,0.3559322033898305,0,4560,456
111,seq0,3,D,28,28,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,380,0.9047619047619048,0.9,0.9047619047619048,0.40350877192982454,1,4560,456
112,seq0,0,A,29,29,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,380,0.9047619047619048,0.925,0.9047619047619048,0.5094339622641509,1,4580,458
113,seq0,1,B,29,29,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,360,0.8181818181818182,0.825,0.8181818181818182,0.40350877192982454,0,4590,459
114,seq0,2,C,29,29,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,280,0.5384615384615384,0.625,0.6326530612244898,0.3559322033898305,0,4590,459
115,seq0,3,D,29,29,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,380,0.9047619047619048,0.925,0.9512195121951219,0.42857142857142855,1,4590,459
116,seq0,0,A,30,30,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,380,0.9047619047619048,0.925,0.9047619047619048,0.5094339622641509,1,4590,459
117,seq0,1,B,30,30,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,360,0.8181818181818182,0.825,0.8181818181818182,0.40350877192982454,0,4590,459
118,seq0,2,C,30,30,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,270,0.5094339622641509,0.625,0.6,0.3114754098360656,0,4590,459
119,seq0,3,D,30,30,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,380,0.9047619047619048,0.925,0.9047619047619048,0.40350877192982454,1,4590,459
120,seq0,0,A,31,31,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,380,0.9047619047619048,0.925,0.9047619047619048,0.5094339622641509,1,4600,460
121,seq0,1,B,31,31,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,360,0.8181818181818182,0.85,0.8181818181818182,0.3793103448275862,0,4600,460
122,seq0,2,C,31,31,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,320,0.6666666666666666,0.65,0.6666666666666666,0.3114754098360656,0,4610,461
123,seq0,3,D,31,31,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,380,0.9047619047619048,0.925,0.9047619047619048,0.40350877192982454,1,4610,461
124,seq0,0,A,32,32,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,390,0.9512195121951219,0.925,0.9512195121951219,0.5094339622641509,1,4610,461
125,seq0,1,B,32,32,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,360,0.8181818181818182,0.85,0.8604651162790697,0.40350877192982454,0,4610,461
126,seq0,2,C,32,32,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,270,0.5094339622641509,0.65,0.6326530612244898,0.3333333333333333,0,4610,461
127,seq0,3,D,32,32,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,380,0.9047619047619048,0.925,0.9512195121951219,0.40350877192982454,1,4610,461
128,seq0,0,A,33,33,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,390,0.9512195121951219,0.925,0.9512195121951219,0.5094339622641509,1,4610,461
129,seq0,1,B,33,33,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,360,0.8181818181818182,0.85,0.8181818181818182,0.40350877192982454,0,4610,461
130,seq0,2,C,33,33,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,270,0.5094339622641509,0.65,0.5686274509803921,0.3333333333333333,0,4610,461
131,seq0,3,D,33,33,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,380,0.9047619047619048,0.925,0.9512195121951219,0.40350877192982454,1,4610,461
132,seq0,0,A,34,34,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,390,0.9512195121951219,0.925,0.9512195121951219,0.5094339622641509,1,4610,461
133,seq0,1,B,34,34,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,360,0.8181818181818182,0.85,0.8181818181818182,0.42857142857142855,0,4620,462
134,seq0,2,C,34,34,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,280,0.5384615384615384,0.65,0.6326530612244898,0.3559322033898305,0,4620,462
135,seq0,3,D,34,34,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,380,0.9047619047619048,0.925,0.9047619047619048,0.3793103448275862,1,4630,463
136,seq0,0,A,35,35,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,390,0.9512195121951219,0.925,0.9512195121951219,0.5094339622641509,1,4630,463
137,seq0,1,B,35,35,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,360,0.8181818181818182,0.85,0.8604651162790697,0.42857142857142855,0,4640,464
138,seq0,2,C,35,35,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,270,0.5094339622641509,0.65,0.6,0.3333333333333333,0,4650,465
139,seq0,3,D,35,35,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,380,0.9047619047619048,0.925,0.9512195121951219,0.40350877192982454,1,4650,465
140,seq0,0,A,36,36,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,390,0.9512195121951219,0.925,0.9512195121951219,0.5094339622641509,1,4650,465
141,seq0,1,B,36,36,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,360,0.8181818181818182,0.85,0.8604651162790697,0.42857142857142855,0,4650,465
142,seq0,2,C,36,36,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,290,0.5686274509803921,0.65,0.6326530612244898,0.3793103448275862,0,4650,465
